Sno,Api,Descriptions,Username,Pwd,userid,adminaccountid,memberid,iseditable,ResponseCode,ResponseMessage,ResponseText,Issue Raised,Issue No.
1,AdminLogin,PS: Login with valid username and pwd,admin@demo.com,D3m0U$3r,,,,,200,OK,user_id,,
2,AdminLogin,PS: Login with valid username - case changed and valid pwd,ADMIN@Demo.Com,D3m0U$3r,,,,,200,OK,account_id,,
3,AdminLogin,NS: Login with valid username - same case and pwd case changed,admin@demo.com,d3M0u$3R,,,,,401,Unauthorized,Invalid,,
4,AdminLogin,NS: Login with valid username and empty password,admin@demo.com,,,,,,401,Unauthorized,Invalid,,
5,AdminLogin,NS: Login with valid username and invalid pwd,admin@demo.com,D3m0U$3,,,,,401,Unauthorized,Invalid,,
6,AdminLogin,NS: Login with empty username and valid pwd,,D3m0U$3r,,,,,401,Unauthorized,Invalid,,
7,AdminLogin,NS: Login with invalid username and valid pwd,admin@dem.com,D3m0U$3r,,,,,401,Unauthorized,Invalid,,
8,AdminLogin,NS: Login with invalid username and invalid pwd,admin@dem.com,D3m0U$3,,,,,401,Unauthorized,Invalid,,
9,AdminLogin,NS: Login with empty username and pwd,,,,,,,401,Unauthorized,Invalid,,
10,AdminLogin,PS:  Login with valid username and pwd - to check if there is no locking of accnt,admin@demo.com,D3m0U$3r,,,,,200,OK,Demo  Admin,,
11,UserLogin,PS: Login with valid username and pwd,testuser2054@guerrillamail.com,Payoda@1234,,,,,200,OK,user_id,,
12,UserLogin,PS: Login with valid username - case changed and valid pwd,TESTUSER2054@guerrillamail.com,Payoda@1234,,,,,200,OK,account_id,,
13,UserLogin,NS: Login with valid username - same case and pwd case changed,testuser2054@guerrillamail.com,PAYODA@1234,,,,,401,Unauthorized,Invalid,,
14,UserLogin,NS: Login with valid username and empty password,testuser2054@guerrillamail.com,,,,,,401,Unauthorized,Invalid,,
15,UserLogin,NS: Login with valid username and invalid pwd,testuser2054@guerrillamail.com,Payoda@123,,,,,401,Unauthorized,Invalid,,
16,UserLogin,NS: Login with empty username and valid pwd,,Payoda@1234,,,,,401,Unauthorized,Invalid,,
17,UserLogin,NS: Login with invalid username and valid pwd,testuser90@guerrillamail.com,Payoda@1234,,,,,401,Unauthorized,Invalid,,
18,UserLogin,NS: Login with invalid username and invalid pwd,testusr9095@guerrillamail.com,Payoda@123,,,,,401,Unauthorized,Invalid,,
19,UserLogin,NS: Login with empty username and pwd,,,,,,,401,Unauthorized,Invalid,,
20,UserLogin,PS:  Login with valid username and pwd - to check if there is no locking of accnt,testuser2054@guerrillamail.com,Payoda@1234,,,,,200,OK,Test User,,
